dll,ordinal,name
WS2_32,1,accept
WS2_32,2,bind
WS2_32,3,closesocket
WS2_32,4,connect
WS2_32,5,getpeername
WS2_32,6,getsockname
WS2_32,7,getsockopt
WS2_32,8,htonl
WS2_32,9,htons
WS2_32,10,ioctlsocket
WS2_32,11,inet_addr
WS2_32,12,inet_ntoa
WS2_32,13,listen
WS2_32,14,ntohl
WS2_32,15,ntohs
WS2_32,16,recv
WS2_32,17,recvfrom
WS2_32,18,select
WS2_32,19,send
WS2_32,20,sendto
WS2_32,21,setsockopt
WS2_32,22,shutdown
WS2_32,23,socket
WS2_32,24,WSApSetPostRoutine
WS2_32,25,FreeAddrInfoEx
WS2_32,26,FreeAddrInfoExW
WS2_32,27,FreeAddrInfoW
WS2_32,28,GetAddrInfoExA
WS2_32,29,GetAddrInfoExW
WS2_32,30,GetAddrInfoW
WS2_32,31,GetNameInfoW
WS2_32,32,InetNtopW
WS2_32,33,InetPtonW
WS2_32,34,SetAddrInfoExA
WS2_32,35,SetAddrInfoExW
WS2_32,36,WPUCompleteOverlappedRequest
WS2_32,37,WSAAccept
WS2_32,38,WSAAddressToStringA
WS2_32,39,WSAAddressToStringW
WS2_32,40,WSAAdvertiseProvider
WS2_32,41,WSACloseEvent
WS2_32,42,WSAConnect
WS2_32,43,WSAConnectByList
WS2_32,44,WSAConnectByNameA
WS2_32,45,WSAConnectByNameW
WS2_32,46,WSACreateEvent
WS2_32,47,WSADuplicateSocketA
WS2_32,48,WSADuplicateSocketW
WS2_32,49,WSAEnumNameSpaceProvidersA
WS2_32,50,WSAEnumNameSpaceProvidersExA
WS2_32,51,gethostbyaddr
WS2_32,52,gethostbyname
WS2_32,53,getprotobyname
WS2_32,54,getprotobynumber
WS2_32,55,getservbyname
WS2_32,56,getservbyport
WS2_32,57,gethostname
WS2_32,58,WSAEnumNameSpaceProvidersExW
WS2_32,59,WSAEnumNameSpaceProvidersW
WS2_32,60,WSAEnumNetworkEvents
WS2_32,61,WSAEnumProtocolsA
WS2_32,62,WSAEnumProtocolsW
WS2_32,63,WSAEventSelect
WS2_32,64,WSAGetOverlappedResult
WS2_32,65,WSAGetQOSByName
WS2_32,66,WSAGetServiceClassInfoA
WS2_32,67,WSAGetServiceClassInfoW
WS2_32,68,WSAGetServiceClassNameByClassIdA
WS2_32,69,WSAGetServiceClassNameByClassIdW
WS2_32,70,WSAHtonl
WS2_32,71,WSAHtons
WS2_32,72,WSAInstallServiceClassA
WS2_32,73,WSAInstallServiceClassW
WS2_32,74,WSAIoctl
WS2_32,75,WSAJoinLeaf
WS2_32,76,WSALookupServiceBeginA
WS2_32,77,WSALookupServiceBeginW
WS2_32,78,WSALookupServiceEnd
WS2_32,79,WSALookupServiceNextA
WS2_32,80,WSALookupServiceNextW
WS2_32,81,WSANSPIoctl
WS2_32,82,WSANtohl
WS2_32,83,WSANtohs
WS2_32,84,WSAPoll
WS2_32,85,WSAProviderCompleteAsyncCall
WS2_32,86,WSAProviderConfigChange
WS2_32,87,WSARecv
WS2_32,88,WSARecvDisconnect
WS2_32,89,WSARecvFrom
WS2_32,90,WSARemoveServiceClass
WS2_32,91,WSAResetEvent
WS2_32,92,WSASend
WS2_32,93,WSASendDisconnect
WS2_32,94,WSASendMsg
WS2_32,95,WSASendTo
WS2_32,96,WSASetEvent
WS2_32,97,WSASetServiceA
WS2_32,98,WSASetServiceW
